0,-5.58E-08
0.01,0.000317525
0.02,0.000367177
0.03,0.000402859
0.04,0.000431304
0.05,0.000455228
0.06,0.000477757
0.07,0.000496937
0.08,0.000515392
0.09,0.000533772
0.1,0.000550329
0.125,0.000587871
0.15,0.000623069
0.175,0.000656741
0.2,0.000689985
0.225,0.000722672
0.25,0.000754372
0.275,0.000786965
0.3,0.000818759
0.325,0.000852282
0.35,0.000887331
0.4,0.000956295
0.45,0.001032327
0.5,0.001110108
0.55,0.001196987
0.6,0.001290693
0.7,0.001512911
0.8,0.001819014
0.9,0.002363836
